,Country/region,Site,Site id,Depth (m),svo (kN/m2),s¢vo (kN/m2),s¢p (kN/m2),OCR ,LL (%) ,PL (%),PI (%) ,w (%) ,LI ,qc (kN/m2),qt (kN/m2),u0 (kN/m2),u2 (kN/m2),Bq ,St,"su,CIUC/s¢v0 ","su,CIUC (kN/m2)","su,CK0UC/s¢v0 ","su,CK0UC (kN/m2)","su,DSS/s¢v0 ","su,DSS (kN/m2)","su,CIUE/s¢v0 ","su,CIUE (kN/m2)","su,CK0UE/s¢v0 ","su,CK0UE (kN/m2)","su,UU/s¢v0 ","su,UU (kN/m2)","remolded su,UU (kN/m2)","su,UC/s¢v0 ","su,UC (kN/m2)","remolded su,UC (kN/m2)","su,VST/s¢v0 ","su,VST (kN/m2)","remolded su,VST (kN/m2)",Remolded su (kN/m2),su(mob)/s¢v0 ,su(mob) (kN/m2),su_mean,type
25,Hong Kong,,4.0,,,,,,48.0,22.0,26.0,31.0,0.346153846,,,,,,,,,,74.4845,,,,,,,,,,,,,,53.169,,,,50.15988981,59.27112993666666,CL
26,Hong Kong,,4.0,,,,,,48.0,22.0,26.0,31.0,0.346153846,,,,,,,,,,74.4845,,,,,,,,,,,,,,74.724,,,,70.49498028,73.23449342666667,CL
27,Hong Kong,,5.0,,,49.337,,,60.0,23.0,37.0,37.0,0.378378378,,,,,,,,,1.013592233,50.0076,,,,,,,,,,,,,1.485436893,73.287,,,1.288764157,63.58375723,31.777691752166664,CH
28,Hong Kong,,5.0,,,96.279,,,35.0,17.0,18.0,31.0,0.777777778,,,,,,,,,0.364179104,35.0628,,,,,,,,,,,,,0.641791045,61.791,,,0.646099773,62.20584006,26.785284997,CL
29,Hong Kong,,5.0,,,82.867,,,62.0,27.0,35.0,46.0,0.542857143,,,,,,,,,0.208092486,17.244,,,,,,,,,,,,,0.329479769,27.303,,,0.290098699,24.03960893,11.569046647333332,CH
30,Hong Kong,,5.0,,,114.96,,,57.0,20.0,37.0,28.0,0.216216216,,,,,,,,,0.24375,28.0215,,,,,,,,,,,,,0.4375,50.295,,,0.379574738,43.63591182,20.502206092999998,CH
31,Hong Kong,,5.0,,,96.758,,,47.0,18.0,29.0,28.0,0.344827586,,,,,,,,,0.399009901,38.6074,,,,,,,,,,,,,0.475247525,45.984,,,0.437936887,42.37389732,21.379581938833336,CL
32,Hong Kong,,5.0,,,79.035,,,32.0,14.0,18.0,27.0,0.722222222,,,,,,,,,0.236363636,18.681,,,,,,,,,,,,,0.53030303,41.9125,,,0.533863273,42.19388376,17.3479856165,CL
33,Hong Kong,,5.0,,,61.312,,,67.0,28.0,39.0,52.0,0.615384615,,,,,,,,,0.171875,10.538,,,,,,,,,,,,,0.34765625,21.3155,,,0.297283015,18.22701621,8.482888412499998,CH
34,Hong Kong,,5.0,,,67.06,,,65.0,27.0,38.0,30.0,0.078947368,,,,,,,,,0.497142857,33.3384,,,,,,,,,,,,,0.614285714,41.194,,,0.529087726,35.48062289,18.608923197833334,CH
35,Hong Kong,,5.0,,,20.118,,,43.0,19.0,24.0,27.0,0.333333333,,,,,,,,,1.542857143,31.0392,,,,,,,,,,,,,2.642857143,53.169,,,2.533324457,50.96542143,23.6487766955,CL
36,Hong Kong,,5.0,,,19.16,,,57.0,22.0,35.0,18.0,-0.114285714,,,,,,,,,1.9225,36.8351,,,,,,,,,,,,,3.0,57.48,,,2.641425,50.609703,25.414787999999998,CH
37,Hong Kong,,5.0,,,18.202,,,38.0,20.0,18.0,20.0,0.0,,,,,,,,,1.573684211,28.6442,,,,,,,,,,,,,2.236842105,40.715,,,2.251859368,40.98834422,19.401654984,CL
38,Hong Kong,,5.0,,,54.606,,,69.0,27.0,42.0,52.0,0.595238095,,,,,,,,,0.155263158,8.4783,,,,,,,,,,,,,0.438596491,23.95,,,0.367132632,20.04764448,8.906156126833332,CH
39,Hong Kong,,5.0,,,53.169,,,50.0,19.0,31.0,34.0,0.483870968,,,,,,,,,0.605405405,32.1888,,,,,,,,,,,,,1.324324324,70.413,,,1.201707519,63.89358707,28.271137386333333,CL
40,Hong Kong,,5.0,,,52.211,,,23.0,14.0,9.0,20.0,0.666666667,,,,,,,,,0.332110092,17.3398,,,,,,,,,,,,,0.926605505,48.379,,,1.007242607,52.58914377,20.095650328999998,CL
41,Hong Kong,,6.0,,,41.194,,,76.0,28.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH
42,Hong Kong,,6.0,,,38.799,,,82.0,26.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH
43,Hong Kong,,6.0,,,40.715,,,39.0,18.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL
44,Hong Kong,,6.0,,,43.11,,,78.0,23.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH
45,Hong Kong,,6.0,,,52.211,,,47.0,19.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL
46,Hong Kong,,6.0,,,81.909,,,52.0,20.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH
47,Hong Kong,,6.0,,,112.565,,,66.0,23.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH
48,Hong Kong,,6.0,,,122.624,,,48.0,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL
49,Hong Kong,,6.0,,,139.868,,,48.0,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL
50,Norway,Ellingsrud,10.0,10.5,,,,1.0,24.0,20.0,4.0,36.0,4.0,,,,,,42.5,,,0.42,,,,,,,,,,,,,,0.13,,,,0.147693936,,0.23256464533333335,CL
51,Norway,Mastemyr,11.0,7.5,,,,1.1,30.0,22.0,8.0,46.0,3.0,,,,,,,,,0.335,,,,,,,,,,,,,,0.255,,,,0.279627288,,0.28987576266666665,CL
52,Norway,Fredrikstad,12.0,6.5,,,,1.1,34.0,21.0,13.0,40.5,1.5,,,,,,20.0,,,0.33,,,,,,,,,,,,,,0.25,,,,0.26252265,,0.28084088333333335,CL
53,Norway,Drammen,13.0,7.5,,,,1.4,,,,,,,,,,,6.0,,,0.405,,,,,,,,,,,,,,0.335,,,,,,0.37,
54,Norway,Drammen,13.0,13.0,,,,1.2,,,,,,,,,,,6.0,,,0.335,,,,,,,,,,,,,,0.185,,,,,,0.26,
55,Norway,Vaterland,14.0,14.0,,,,,40.0,24.0,16.0,33.6,0.6,,,,,,3.0,,,0.315,,,,,,,,,,,,,,0.21,,,,0.214977168,,0.24665905600000002,CL
56,USA,New Jersey,15.0,,,,,6.25,34.0,17.0,17.0,32.3,0.9,,,,,,5.0,,,1.38,,,,,,,,,,,,,,0.975,,,,0.989768715,,1.114922905,CL
57,USA,New Jersey,16.0,,,,,4.25,76.0,33.0,43.0,58.8,0.6,,,,,,4.0,,,1.055,,,,,,,,,,,,,,0.84,,,,0.698232024,,0.8644106746666665,CH
58,Canada,"Saint-Alban, P. Q.",17.0,6.0,,,,2.4,39.0,21.0,18.0,62.4,2.3,,,,,,,,,0.84,,,,,,,,,,,,,,0.545,,,,0.548658912,,0.6445529706666667,CL
59,Norway,Studenterlunden Oslo,18.0,7.0,,,,,47.0,24.0,23.0,38.49,0.63,,,,,,7.5,,,0.41,,,,,,,,,,,,,,0.37,,,,0.357529742,,0.37917658066666665,CL
60,Norway,Studenterlunden Oslo,18.0,15.0,,,,1.0,44.0,25.0,19.0,37.35,0.65,,,,,,4.0,,,0.295,,,,,,,,,,,,,,0.195,,,,0.194687649,,0.22822921633333335,CL
